300.0,900.0,1500.0,2100.0,2700.0,3300.0,3900.0,4500.0,5100.0,5700.0,6300.0,6900.0,7500.0,8100.0,8700.0,9300.0,9900.0,10500.0,11100.0,11700.0,12300.0,12900.0,13500.0,14100.0,14700.0,15300.0,15900.0,16500.0,17100.0,17700.0,18300.0,18900.0,19500.0,20100.0,20700.0,21300.0,21900.0,22500.0,23100.0,23700.0,24300.0,24900.0,25500.0,26100.0,26700.0,27300.0,27900.0,28500.0,29100.0,29700.0,30300.0,30900.0,31500.0,32100.0,32700.0,33300.0,33900.0,34500.0,35100.0,35700.0,36300.0,36900.0,37500.0,38100.0,38700.0,39300.0,39900.0,40500.0,41100.0,41700.0,42300.0,42900.0,43500.0,44100.0,44700.0,45300.0,45900.0,46500.0,47100.0,47700.0,48300.0,48900.0,49500.0,50100.0,50700.0,51300.0,51900.0,52500.0,53100.0,53700.0,54300.0,54900.0,55500.0,56100.0,56700.0,57300.0,57900.0,58500.0,59100.0,59700.0,60300.0,60900.0,61500.0,62100.0,62700.0,63300.0,63900.0,64500.0,65100.0,65700.0,66300.0,66900.0,67500.0,68100.0,68700.0,69300.0,69900.0,70500.0,71100.0,71700.0,72300.0,72900.0,73500.0,74100.0,74700.0,75300.0,75900.0,76500.0,77100.0,77700.0,78300.0,78900.0,79500.0,80100.0,80700.0,81300.0,81900.0,82500.0,83100.0,83700.0,84300.0,84900.0,85500.0,86100.0,-999
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,144
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,T,T,T,T,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,T,T,T,T,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,144
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,T,A,A,T,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,T,T,T,T,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,144
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,T,A,A,T,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,T,O,O,O,O,O,T,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,T,T,T,T,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,144
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,T,A,A,T,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,T,O,O,O,O,O,T,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,T,T,T,T,H,H,H,H,H,H,H,T,S,S,T,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,144
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,T,A,A,T,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,T,O,O,O,O,O,T,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,T,T,T,T,H,H,H,H,H,H,H,T,S,S,T,R,R,R,R,R,R,T,T,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,144
